"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes"
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,3,72
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,5,140
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,7,164
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,8,194
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,9,127
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,10,180
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,6,350
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,7,180
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,8,534
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,9,806
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,10,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1950,6,210
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1950,8,119
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1950,9,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1950,10,240
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1951,6,160
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1951,7,420
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1951,10,777
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,6,540
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,8,420
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,9,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,10,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,11,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,4,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,6,599
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,9,52
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,10,473
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,11,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1954,5,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1954,6,275
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1954,8,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1954,9,94
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,5,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,6,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,7,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,8,252
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,9,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,10,300
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,1,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,5,100
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,6,265
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,7,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,8,386
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,9,201
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,10,220
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,5,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,6,295
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,7,360
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,8,352
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,9,134
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,10,219
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,11,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,5,397
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,6,379
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,7,435
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,8,332
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,9,88
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,10,319
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,1,90
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,5,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,6,326
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,7,412
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,8,546
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,9,180
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,10,317
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1960,2,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1960,5,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1960,6,391
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1960,7,335
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1960,8,331
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1960,9,97
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1960,11,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1961,5,146
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1961,6,144
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1961,7,340
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1961,8,341
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1961,9,66
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1961,10,38
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1961,11,63
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1962,2,64
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1962,5,59
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1962,6,320
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1962,7,340
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1962,8,251
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1962,9,278
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1962,10,177
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1962,11,64
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,1,62
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,2,66
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,5,71
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,6,148
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,7,379
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,8,126
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,9,259
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,10,41
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1963,11,69
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1964,2,59
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1964,5,65
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1964,6,238
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1964,7,187
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1964,8,259
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1964,9,137
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1964,10,63
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1964,12,70
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,1,63
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,2,70
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,4,30
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,5,96
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,6,293
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,7,63
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,8,348
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,9,240
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,10,27
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1965,11,130
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,2,57
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,4,168
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,5,56
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,6,199
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,7,165
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,8,157
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,9,76
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,10,185
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1966,11,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1967,4,106
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1967,6,41
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1967,8,166
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1967,9,275
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1967,10,281
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1967,12,64
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,1,59
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,2,69
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,5,429
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,6,48
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,7,287
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,8,75
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,9,258
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,10,237
