"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agées"
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,3,72,72
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,5,140,140
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,7,164,164
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,8,194,194
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,9,127,127
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1948,10,180,180
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,6,350,350
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,7,180,180
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,8,534,534
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,9,806,806
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1949,10,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1950,6,210,210
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1950,8,119,119
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1950,9,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1950,10,240,240
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1951,6,160,160
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1951,7,420,420
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1951,10,777,777
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,6,540,540
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,8,420,420
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,9,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,10,120,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,11,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,4,120,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,6,599,599
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,9,52,52
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,10,473,473
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,11,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1954,5,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1954,6,275,275
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1954,8,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1954,9,94,94
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,5,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,6,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,7,120,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,8,252,252
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,9,120,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1955,10,300,300
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,1,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,5,100,100
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,6,265,265
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,7,120,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,8,386,386
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,9,201,201
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1956,10,220,220
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,5,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,6,295,295
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,7,360,360
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,8,352,352
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,9,134,134
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,10,219,219
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1957,11,60,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,5,397,397
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,6,379,379
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,7,435,435
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,8,332,332
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,9,88,88
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1958,10,319,319
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,1,90,90
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,5,120,120
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,6,326,326
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1959,7,412,412
